Citizenship,Undergraduate Institution,Undergraduate Major,GPA,Graduation Year,Graduate Degree of Interest,Top Choice,Second Choice,Gender,Ethnicity
International,Arizona State University,Electrical Engineering,3.93,2018,Masters,Electrical Engineering,Computer Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Mechanical Engineering,3.76,2018,Ph.D. with Masters,Mechanical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,Arizona State University,Computer Systems Engineering,3.51,2019,Ph.D. with Masters,Computer Engineering,Electrical Engineering,Female,"Asian,White"
International,Arizona State University,Civil Engineering,3.26,2017,Ph.D. with Masters,Structural Engineering,Civil Engineering,Male,White
U.S. Citizen,Arizona State University,Civil Engr (Envrnmntal Engr),4.07,2018,Ph.D. with Masters,Environmental Engineering,Coastal/Water Systems Engineering,Female,White
U.S. Citizen,Arizona State University,Civil Engr (Envrnmntal Engr),3.89,2019,Ph.D. with Masters,Structural Engineering,Aerospace Engineering,Female,"Hispanic,White"
International,Arizona State University,Chemical Engineering,3.41,2018,Ph.D. with Masters,Chemical Engineering,Chemical Engineering,Male,Asian
U.S. Citizen,Arizona State University,Computer Science - BS,4.16,2018,Masters,Computer Science/Engineering,Systems Engineering,Male,"Asian,White"
International,Arizona State University,Electrical Engineering,3.39,2018,Masters,Civil Engineering,Electrical Engineering,Male,White
International,Arizona State University,Electrical Engineering,3.06,2017,Ph.D. with Masters,Electrical Engineering,Energy Engineering,Male,Asian
U.S. Citizen,Arizona State University,Engineering (MechEngrSystems),4.2,2019,Masters,Mechanical Engineering,Electrical Engineering,Male,White
Permanent Resident,Arizona State University,Industrial Engineering,4.04,2018,Masters,Industrial/Systems Engineering,Operations Engineering,Male,White
International,Arizona State University,Electrical Engineering,4,2018,Ph.D. with Masters,Electrical Engineering,Energy Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Mechanical Engineering,3.46,2019,Ph.D. with Masters,Mechanical Engineering,Climate/Space Sciences Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Biomedical Engineering,3.33,2019,Ph.D. with Masters,Industrial/Systems Engineering,Industrial/Systems Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Civil Engr(Sustainable Engr),3.52,2018,Ph.D. with Masters,Civil Engineering,Structural Engineering,Male,White
International,Arizona State University,Chemical Engineering,3.88,2020,Ph.D. with Masters,Nuclear Engineering,Energy Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.72,2019,Ph.D. with Masters,Electrical Engineering,Computer Engineering,Female,White
U.S. Citizen,Arizona State University,Engineering (MechEngrSystems),3.33,2019,Ph.D. with Masters,Mechanical Engineering,Industrial/Systems Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Electrical Engineering,3.6,2020,Masters,Electrical Engineering,Energy Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Mechanical Engineering,3.2,2017,Ph.D. with Masters,Systems Engineering,Mechanical Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Biomedical Engineering,3.66,2019,Masters,Biomedical Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.58,2020,Masters,Biomedical Engineering,Biomedical Engineering,Male,Asian
U.S. Citizen,Arizona State University,Computer Systems Engineering,3.8,2019,Ph.D. with Masters,Computer Engineering,Computer Engineering,Male,"Native Hawaiian or Other Pacific Islander,White"
U.S. Citizen,Arizona State University,Mech Engr (Energy/Environmt),3.53,2019,Masters,Environmental Engineering,Energy Engineering,Female,White
U.S. Citizen,Arizona State University,Aerospace Engr (Astronautics),3.48,2019,Masters,Aerospace Engineering,Mechanical Engineering,Female,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.85,2019,Masters,Mechanical Engineering,Human Computer-Interaction/Factors Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Software Engineering,3.35,2019,Online Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Software Engineering,3.53,2018,Online Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science - BS,3.25,2018,Ph.D. with Masters,Human Computer-Interaction/Factors Engineering,Computer Science/Engineering,Female,White
U.S. Citizen,Arizona State University,Computer Science - BS,3.24,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,Native Hawaiian or Other Pacific Islander
U.S. Citizen,Arizona State University,Electrical Engineering,3.2,2019,Ph.D. with Masters,Electrical Engineering,Petroleum Engineering,Male,White
U.S. Citizen,Arizona State University,Civil Engineering,3.89,2018,Ph.D. with Masters,Structural Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Arizona State University,Materials Sci &amp; Engineering,3.51,2018,Masters,Materials Science/Polymers Engineering,Biomedical Engineering,Female,White
U.S. Citizen,Arizona State University,Engineering (MechEngrSystems),3.15,2017,Masters,Mechanical Engineering,Energy Engineering,Female,American Indian or Alaska Native
U.S. Citizen,Arizona State University,Electrical Engineering,3.2,2018,Masters,Biomedical Engineering,Electrical Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Mechanical Engineering,4,2018,Ph.D. with Masters,Mechanical Engineering,Systems Engineering,Male,White
International,Arizona State University,Civil Engineering,3.41,2018,Masters,Civil Engineering,Environmental Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Electrical Engineering,3.79,2018,Masters,Electrical Engineering,Computer Engineering,Male,White
International,Arizona State University,"Mechanical Engineering ,Aerospace Engineering",3.71,2018,Ph.D. with Masters,Robotics Engineering,Aerospace Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Electrical Engineering,3.46,2019,Ph.D. with Masters,Electrical Engineering,Computer Science/Engineering,Male,"American Indian or Alaska Native,Black/African American"
U.S. Citizen,Arizona State University,Mechanical Engineering,3.54,2019,Masters,Mechanical Engineering,Industrial/Systems Engineering,Male,"Asian,White"
U.S. Citizen,Arizona State University,Biomedical Engineering,4.13,2018,Masters,Bioengineering,Biomedical Engineering,Male,White
International,Arizona State University,"Software Engineering, Engineering (Robotics)",3.55,2018,Ph.D. with Masters,Robotics Engineering,Electrical Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Chemical Engineering,3.25,2019,Masters,Chemical Engineering,Biological Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Chemical Engineering,3.86,2018,Masters,Chemical Engineering,Chemical Engineering,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.89,2018,Ph.D. with Masters,Chemical Engineering,Biological Engineering,Female,White
U.S. Citizen,Arizona State University,Aerospace Engr (Aeronautics),3.78,2019,Masters,Aerospace Engineering,Transportation Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Electrical Engineering,3.98,2018,Ph.D. with Masters,Electrical Engineering,Computer Engineering,Male,White
