Citizenship,Undergraduate Institution,Undergraduate Major,GPA,Graduation Year,Graduate Degree of Interest,Top Choice,Second Choice,Gender,Ethnicity
U.S. Citizen,Arizona State University,Software Engineering,3.51,2019,Masters,Computer Science/Engineering,Computer Information Systems,Male,White
U.S. Citizen,Arizona State University,Engineering (MechEngrSystems),3.43,2017,Ph.D. only (have Masters),Aerospace Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Mech Engr (Computational Mech),3.7,2019,Masters,Mechanical Engineering,Computer Science/Engineering,Female,American Indian or Alaska Native
U.S. Citizen,Arizona State University,Aerospace Engr (Aeronautics),3.33,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Materials Sci &amp; Engineering,3.22,2018,Masters,Materials Science/Polymers Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science - BS,4.07,2018,Masters,Computer Science/Engineering,Financial Engineering,Female,White
U.S. Citizen,Arizona State University,Computer Science - BS,3.88,2020,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Electrical Engineering,3.66,2019,Ph.D. with Masters,Electrical Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Software Engineering,4.11,2018,Online Masters,Computer Science/Engineering,Computer Information Systems,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.58,2020,Ph.D. with Masters,Electrical Engineering,Energy Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.04,2017,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Female,White
U.S. Citizen,Arizona State University,Computer Systems Engineering,4.12,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.38,2019,Online Masters,Electrical Engineering,Nuclear Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.9,2019,Masters,Mechanical Engineering,Robotics Engineering,Female,"Asian,Hispanic"
U.S. Citizen,Arizona State University,Civil Engr (Envrnmntal Engr),3.23,2018,Ph.D. with Masters,Environmental Engineering,Civil Engineering,Female,White
U.S. Citizen,Arizona State University,Engineering (Robotics) &amp; Software Engineering,4.02,2019,Ph.D. with Masters,Robotics Engineering,Computer Science/Engineering,Male,White
International,Arizona State University,Industrial Engineering,3.38,2019,Masters,Industrial/Systems Engineering,Operations Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Chemical Engineering,3.19,2019,Masters,Chemical Engineering,Nuclear Engineering,Female,White
International,Arizona State University,Electrical Engineering,3.3,2018,Masters,Electrical Engineering,Electrical Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Electrical Engineering,3.23,2017,Ph.D. with Masters,Electrical Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,Arizona State University,Civil Engineering,3.67,2017,Ph.D. with Masters,Materials Science/Polymers Engineering,Structural Engineering,Male,White
U.S. Citizen,Arizona State University,Civil Engineering,3.99,2018,Masters,Structural Engineering,Transportation Engineering,Male,Asian
U.S. Citizen,Arizona State University,Civil Engr(Sustainable Engr),3.35,2019,Masters,Coastal/Water Systems Engineering,Civil Engineering,Female,White
U.S. Citizen,Arizona State University,Computer Science (Sftwre Engr),3.98,2019,Masters,Computer Science/Engineering,Computer Engineering,Female,Asian
U.S. Citizen,Arizona State University,Biomedical Engineering,3.63,2018,Ph.D. with Masters,Biomedical Engineering,Chemical Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.12,2018,Masters,Mechanical Engineering,Biomedical Engineering,Male,"Asian,White"
U.S. Citizen,Arizona State University,Chemical Engineering,3.75,2018,Ph.D. with Masters,Chemical Engineering,Nuclear Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Software Engineering,3.54,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Female,White
U.S. Citizen,Arizona State University,biomedical engineering,3.27,2017,Masters,Biomedical Engineering,Mechanical Engineering,Female,Asian
U.S. Citizen,Arizona State University,Chemical Engineering,3.93,2018,Ph.D. with Masters,Chemical Engineering,Biological Engineering,Male,Asian
Permanent Resident,Arizona State University,Computer Science,3.97,2017,Masters,Computer Science/Engineering,Computer Engineering,Male,Asian
U.S. Citizen,Arizona State University,Electrical Engineering,3.41,2018,Masters,Electrical Engineering,Materials Science/Polymers Engineering,Male,Asian
U.S. Citizen,Arizona State University,Computer Science - BS,4.08,2019,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Female,Asian
International,Arizona State University,Computer Science (Sftwre Engr),3.51,2018,Ph.D. with Masters,Robotics Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,Arizona State University,Mech Engr (Computational Mech),3.85,2019,Ph.D. with Masters,Robotics Engineering,Mechanical Engineering,Male,Asian
U.S. Citizen,Arizona State University,Elec Engr(Elec Pwr/Enrgy Syst),3.19,2017,Masters,Electrical Engineering,Energy Engineering,Male,White
Permanent Resident,Arizona State University,Civil Engineering,3.62,2018,Masters,Civil Engineering,Environmental Engineering,Female,Asian
U.S. Citizen,Arizona State University,Computer Science - BS,3.71,2019,Masters,Financial Engineering,Computer Information Systems,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.48,2018,Ph.D. with Masters,Chemical Engineering,Energy Engineering,Female,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.73,2019,Masters,Electrical Engineering,Energy Engineering,Male,"Hispanic,White"
U.S. Citizen,Arizona State University,Electrical Engineering,4.11,2018,Masters,Electrical Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,4.23,2018,Masters,Electrical Engineering,Nuclear Engineering,Male,White
U.S. Citizen,Arizona State University,Engineering (MechEngrSystems),3.8,2018,Ph.D. with Masters,Aerospace Engineering,Climate/Space Sciences Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.55,2019,Masters,Biomedical Engineering,Bioengineering,Female,White
U.S. Citizen,Arizona State University,Computer Syst Egr (Info Assur),3.56,2017,Ph.D. with Masters,Applied Physics,Energy Engineering,Female,White
U.S. Citizen,Arizona State University,Civil Engr(Sustainable Engr),3.29,2018,Ph.D. with Masters,Biomimicry,Environmental Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Materials Sci &amp; Engineering,3.83,2018,Ph.D. with Masters,Materials Science/Polymers Engineering,Nanoscience Engineering,Male,Asian
U.S. Citizen,Arizona State University,Electrical Engineering,3.98,2018,Online Masters,Electrical Engineering,Energy Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.17,2017,Masters,Biomedical Engineering,Bioengineering,Female,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.5,2019,Ph.D. with Masters,Electrical Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.96,2019,Masters,Chemical Engineering,Nuclear Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.58,2018,Masters,Biomedical Engineering,Electrical Engineering,Male,Hispanic
International,Arizona State University,Electrical Engineering,3.05,2018,Online Masters,Energy Engineering,Energy Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Electrical Engineering,3.13,2019,Masters,Electrical Engineering,Bioengineering,Female,White
U.S. Citizen,Arizona State University,Computer Science - BS,4.19,2019,Ph.D. with Masters,Computer Science/Engineering,Computer Information Systems,Male,White
International,Arizona State University,Software Engineering,3.85,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Information Systems,Male,Asian
U.S. Citizen,Arizona State University,Aerospace Engr (Astronautics),3.88,2019,Ph.D. with Masters,Aerospace Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.54,2019,Ph.D. with Masters,Climate/Space Sciences Engineering,Bioengineering,Male,White
U.S. Citizen,Arizona State University,Industrial Engineering,3.88,2018,Ph.D. with Masters,Industrial/Systems Engineering,Operations Engineering,Male,Asian
U.S. Citizen,Arizona State University,Computer Science - BS,3.7,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Software Engineering,3.69,2018,Online Masters,Computer Science/Engineering,Environmental Engineering,Female,White
International,Arizona State University,Chemical Engineering,3.65,2018,Ph.D. with Masters,Chemical Engineering,Materials Science/Polymers Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Computer Science (Sftwre Engr),3.27,2019,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.66,2017,Ph.D. with Masters,Environmental Engineering,Energy Engineering,Female,White
U.S. Citizen,Arizona State University,Computer Science,4.07,2019,Ph.D. with Masters,Natural Language Processing,Computer Science/Engineering,Female,White
U.S. Citizen,Arizona State University,Software Engineering,3.24,2019,Online Masters,Computer Information Systems,Systems Engineering,Male,White
Permanent Resident,Arizona State University,Biomedical Engineering,3.29,2017,Masters,Biomedical Engineering,Industrial/Systems Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Engineering(ElectricalSystems),3.2,2018,Masters,Electrical Engineering,Robotics Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Biomedical Engineering,4.09,2018,Ph.D. with Masters,Biological Engineering,Chemical Engineering,Male,White
U.S. Citizen,Arizona State University,Aerospace Engr (Astronautics),3.94,2018,Masters,Aerospace Engineering,Robotics Engineering,Female,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.63,2018,Online Masters,Electrical Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,4.17,2018,Ph.D. with Masters,Electrical Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.33,2019,Masters,Electrical Engineering,Applied Physics,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,4.03,2018,Ph.D. with Masters,Electrical Engineering,Nuclear Engineering,Male,White
U.S. Citizen,Arizona State University,Materials Sci &amp; Engineering,3.7,2019,Ph.D. with Masters,Materials Science/Polymers Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,4.11,2020,Ph.D. with Masters,Electrical Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3,2020,Online Masters,Electrical Engineering,Electrical Engineering,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.05,2019,Masters,Chemical Engineering,Petroleum Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.05,2018,Online Masters,Electrical Engineering,Energy Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Biomedical Engineering,3.07,2019,Ph.D. with Masters,Biomedical Engineering,Nanoscience Engineering,Male,Hispanic
International,Arizona State University,Civil Engineering,3.06,2018,Masters,Civil Engineering,Structural Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.11,2019,Ph.D. with Masters,Electrical Engineering,Aerospace Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Electrical Engineering,3.59,2019,Masters,Electrical Engineering,Industrial/Systems Engineering,Female,White
International,Arizona State University,Mechanical Engineering,3.71,2018,Masters,Aerospace Engineering,Mechanical Engineering,Male,Asian
U.S. Citizen,Arizona State University,Mech Engr (Computational Mech),3.01,2018,Ph.D. with Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Civil Engr (Envrnmntal Engr),3.81,2019,Ph.D. with Masters,Environmental Engineering,Civil Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science - BS,3.42,2020,Ph.D. with Masters,Computer Science/Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,4.1,2018,Masters,Electrical Engineering,Nuclear Engineering,Male,White
U.S. Citizen,Arizona State University,Engineering (MechEngrSystems),3.74,2018,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.15,2018,Masters,Biomedical Engineering,Human Computer-Interaction/Factors Engineering,Male,White
International,Arizona State University,Biomedical Engineering,4.12,2018,Ph.D. with Masters,Biomedical Engineering,Tissue Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Mechanical Engineering,3.98,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science (Info Assur),3.48,2017,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.39,2019,Masters,Electrical Engineering,Energy Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.67,2018,Ph.D. with Masters,Electrical Engineering,Biomedical Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Mechanical Engineering,3.95,2020,Masters,Mechanical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,Arizona State University,Civil Engineering,4.01,2018,Masters,Structural Engineering,Civil Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Electrical Engineering,3.19,2018,Masters,Electrical Engineering,Computer Science/Engineering,Male,Asian
U.S. Citizen,Arizona State University,Engineering (MechEngrSystems),3.77,2019,Ph.D. with Masters,Mechanical Engineering,Mechanical Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Mechanical Engineering,3.65,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,Hispanic
U.S. Citizen,Arizona State University,Mechanical Engineering,4.06,2019,Ph.D. with Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.93,2019,Masters,Biomedical Engineering,Bioengineering,Female,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.97,2019,Masters,Biomedical Engineering,Tissue Engineering,Male,Hispanic
Permanent Resident,Arizona State University,Computer Science - BS,3.07,2019,Ph.D. with Masters,Computer Science/Engineering,Computer Science/Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Electrical Engineering,4.08,2019,Online Masters,Energy Engineering,Electrical Engineering,Female,White
U.S. Citizen,Arizona State University,Computer Science (Sftwre Engr),3.91,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Electrical Engineering,3.87,2019,Ph.D. with Masters,Nuclear Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.24,2018,Masters,Aerospace Engineering,Electrical Engineering,Male,White
International,Arizona State University,Computer Science - BS,4,2019,Masters,Bioinformatics,Robotics Engineering,Male,Asian
U.S. Citizen,Arizona State University,Computer Science - BS,3.8,2018,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,4.17,2019,Online Masters,Electrical Engineering,Systems Engineering,Male,"Hispanic,White"
U.S. Citizen,Arizona State University,Computer Science - BS,3.46,2019,Masters,Computer Science/Engineering,Aerospace Engineering,Male,Hispanic
International,Arizona State University,Computer Science - BS,4.02,2019,Masters,Computer Science/Engineering,Computer Information Systems,Female,Hispanic
U.S. Citizen,Arizona State University,Electrical Engineering,4.18,2018,Ph.D. with Masters,Electrical Engineering,Computer Science/Engineering,Female,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.69,2018,Masters,Biomedical Engineering,Electrical Engineering,Male,White
U.S. Citizen,Arizona State University,Software Engineering,3.27,2019,Masters,Computer Science/Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.29,2019,Ph.D. with Masters,Biomedical Engineering,Bioengineering,Female,White
U.S. Citizen,Arizona State University,Engineering (MechEngrSystems),4.04,2017,Ph.D. with Masters,Nanoscience Engineering,Applied Physics,Male,White
U.S. Citizen,Arizona State University,Computer Systems Engineering,3.5,2019,Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.94,2019,Masters,Mechanical Engineering,Aerospace Engineering,Male,White
U.S. Citizen,Arizona State University,Materials Sci &amp; Engineering,3.08,2019,Masters,Nanoscience Engineering,Applied Physics,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.15,2018,Online Masters,Electrical Engineering,Nanoscience Engineering,Male,"Hispanic,White"
U.S. Citizen,Arizona State University,Chemical Engineering,3.29,2018,Ph.D. with Masters,Chemical Engineering,Bioengineering,Male,White
U.S. Citizen,Arizona State University,Engineering(ElectricalSystems),4.12,2017,Masters,Computer Science/Engineering,Transportation Engineering,Male,"Asian,Native Hawaiian or Other Pacific Islander,White"
U.S. Citizen,Arizona State University,Chemical Engineering,4.01,2020,Masters,Chemical Engineering,Bioengineering,Male,Asian
U.S. Citizen,Arizona State University,Computer Science (Sftwre Engr),3.05,2019,Masters,Computer Science/Engineering,Computer Science/Engineering,Male,White
International,Arizona State University,Computer Science - BS,3.87,2018,Ph.D. with Masters,Computer Science/Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Computer Science - BS,3.78,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.3,2018,Masters,Mechanical Engineering,Industrial/Systems Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.16,2018,Masters,Electrical Engineering,Computer Engineering,Male,Asian
U.S. Citizen,Arizona State University,Chemical Engineering,3.54,2019,Ph.D. with Masters,Radiochemistry/Nuclear Chemistry,Nuclear Engineering,Female,White
U.S. Citizen,Arizona State University,Chemical Engineering,4.02,2018,Ph.D. with Masters,Chemical Engineering,Industrial/Systems Engineering,Female,Asian
U.S. Citizen,Arizona State University,Chemical Engineering,3.91,2019,Masters,Chemical Engineering,Biomedical Engineering,Female,White
U.S. Citizen,Arizona State University,Human Systems Engineering,3.23,2018,Masters,Human Computer-Interaction/Factors Engineering,Human Computer-Interaction/Factors Engineering,Female,Black/African American
U.S. Citizen,Arizona State University,Software Engineering,4.11,2019,Ph.D. with Masters,Robotics Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.12,2019,Masters,Energy Engineering,Environmental Engineering,Male,White
U.S. Citizen,Arizona State University,Chemical Engineering,3.79,2018,Ph.D. with Masters,Biomedical Engineering,Chemical Engineering,Female,White
U.S. Citizen,Arizona State University,Mechanical Engineering,3.01,2019,Masters,Mechanical Engineering,Materials Science/Polymers Engineering,Male,Asian
U.S. Citizen,Arizona State University,Biomedical Engineering,3.19,2018,Masters,Industrial/Systems Engineering,Biomedical Engineering,Female,Hispanic
U.S. Citizen,Arizona State University,Computer Systems Engineering,4.02,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Female,Asian
U.S. Citizen,Arizona State University,Chemical Engineering,3,2019,Ph.D. with Masters,Chemical Engineering,Materials Science/Polymers Engineering,Male,White
U.S. Citizen,Arizona State University,Software Engineering,3.54,2018,Online Masters,Computer Science/Engineering,Systems Engineering,Male,White
U.S. Citizen,Arizona State University,Software Engineering,4,2019,Ph.D. with Masters,Computer Science/Engineering,Computer Information Systems,Male,White
U.S. Citizen,Arizona State University,Software Engineering/Applied Physics,4.02,2018,Ph.D. only (have Masters),Applied Physics,Aerospace Engineering,Male,Asian
U.S. Citizen,Arizona State University,Mechanical Engineering,3.09,2019,Masters,Mechanical Engineering,Robotics Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.27,2019,Ph.D. with Masters,Biomedical Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.48,2020,Masters,Electrical Engineering,Electrical Engineering,Male,White
U.S. Citizen,Arizona State University,Mech Engr (Computational Mech),3.34,2019,Ph.D. with Masters,Mechanical Engineering,Robotics Engineering,Male,Hispanic
Permanent Resident,Arizona State University,Mechanical Engineering,3.04,2018,Masters,Mechanical Engineering,Biomedical Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Biomedical Engineering,3.84,2018,Masters,Bioengineering,Biomedical Engineering,Male,"Hispanic,White"
U.S. Citizen,Arizona State University,Computer Science - BS,3.67,2018,Ph.D. with Masters,Computer Science/Engineering,Computer Science/Engineering,Male,White
U.S. Citizen,Arizona State University,Biomedical Engineering,3.97,2019,Masters,Biomedical Engineering,Bioengineering,Male,White
International,Arizona State University,Computer Science - BS,3.47,2019,Masters,Computer Science/Engineering,Financial Engineering,Female,Asian
International,Arizona State University,Computer Systems Engineering,3.57,2017,Ph.D. with Masters,Computer Science/Engineering,Computer Engineering,Male,Black/African American
U.S. Citizen,Arizona State University,Aerospace Engr (Astronautics),3.5,2020,Masters,Aerospace Engineering,Mechanical Engineering,Male,White
U.S. Citizen,Arizona State University,Software Engineering,3.35,2018,Ph.D. with Masters,Computer Engineering,Computer Science/Engineering,Female,Asian
U.S. Citizen,Arizona State University,Civil Engr(Sustainable Engr),4.09,2018,Ph.D. with Masters,Urban Planning,Civil Engineering,Female,"Asian,White"
U.S. Citizen,Arizona State University,Mechanical Engineering,3.76,2018,Masters,Mechanical Engineering,Naval Engineering,Male,White
U.S. Citizen,Arizona State University,Electrical Engineering,3.29,2018,Ph.D. with Masters,Electrical Engineering,Nanoscience Engineering,Female,White
